txId,sourceId,destId,amount,type,step
TX_2bf813a666,C_14154214,C_3e93434a,117.17,CASH_IN,84
TX_8339958c83,C_0c3d83e3,C_c5c79a1b,1921.11,CASH_IN,84
TX_5efee1b9a4,C_821f75f2,C_e5a16bc7,347.43,CASH_IN,81
TX_4fc0f7bee2,C_e97a16ef,C_942358cb,973.3,CASH_OUT,91
TX_fd94d067bb,C_dfeb1285,C_27e53f53,1264.59,TRANSFER,26
TX_25c787cf1f,C_d5741eca,C_d47694db,2547.18,PAYMENT,23
TX_5121801f75,C_86959300,C_35d57cdd,1146.06,CASH_OUT,82
TX_e73de7759f,C_c443e123,C_9913ee88,4603.41,CASH_OUT,35
TX_9869ded1d0,C_bf7998e1,C_24edb956,3470.49,CASH_OUT,2
TX_0000dfa4ca,C_8c4e3004,C_4a2764b2,4316.14,PAYMENT,87
TX_47dde8ef0c,C_25f7c466,C_e8034409,1542.79,CASH_IN,97
TX_495c013bc0,C_3da7223c,C_cc2941ec,637.6,TRANSFER,27
TX_5333f85f4a,C_ea991c22,C_a288a6db,4091.28,CASH_IN,64
TX_a229370b1b,C_46ba4f24,C_cd43904c,4613.9,CASH_IN,32
TX_e27941c6d4,C_b364d3d6,C_1b0dc36b,2698.2,PAYMENT,16
TX_bc1dda652c,C_62fdc768,C_faef589f,4430.59,TRANSFER,65
TX_601806957b,C_af4aa0c0,C_218160de,4759.6,CASH_OUT,57
TX_b3768fd04f,C_953d6016,C_d9639232,924.83,PAYMENT,82
TX_6bce068518,C_62c082ff,C_ba185f47,1759.09,TRANSFER,65
TX_1e27da22bb,C_3464e49a,C_25b937ea,1800.35,CASH_IN,48
TX_f54ec0a6d4,C_742974cb,C_7c67c365,3217.11,PAYMENT,2
TX_718c6f62ec,C_ff104de4,C_c2ca999b,1058.87,TRANSFER,45
TX_0e2fe3c370,C_0065bd29,C_075cadf6,3222.04,CASH_IN,66
TX_05769c89fa,C_f24e035e,C_f56a63ff,4277.89,PAYMENT,90
TX_7ab1da4724,C_730b924c,C_7cd1ec83,89.94,CASH_OUT,11
TX_d1369f2add,C_467795ae,C_bad47638,946.77,PAYMENT,39
TX_5c67daf2ea,C_ab566af3,C_1493c3cc,1290.55,PAYMENT,39
TX_6067fb6e74,C_6ec17795,C_94b05b30,3712.44,PAYMENT,55
TX_3e2bcf9c51,C_b8e80866,C_a45e6ce7,306.92,CASH_OUT,57
TX_6a19b440b3,C_334c5cd1,C_07a966dc,1398.9,CASH_OUT,75
TX_3a56d9f3f6,C_acd2729c,C_87aa6172,2276.78,TRANSFER,74
TX_392ee0cf6e,C_3c90af19,C_c8f23691,3360.44,CASH_IN,57
TX_6bcd773528,C_6e6d30ec,C_fdcf3662,698.83,TRANSFER,42
TX_72baefc70f,C_320dee33,C_e40a9a0a,4378.38,CASH_IN,17
TX_04162e3bc0,C_68842084,C_72c707c7,1504.22,CASH_OUT,53
TX_b14c48f063,C_249018db,C_559f0543,4386.7,CASH_OUT,29
TX_5aecd006b6,C_7fc97869,C_431ddb19,2625.45,CASH_OUT,5
TX_fd6dce6d9a,C_73a2a7ed,C_80abfa9a,4113.29,TRANSFER,33
TX_8a0384173d,C_8a4eed8e,C_f4f20e72,1990.46,CASH_IN,85
TX_18324ed81c,C_51e56c51,C_b70cc7c5,34.13,TRANSFER,71
TX_df4ea3e66d,C_1f5ded0f,C_f92f1bac,1228.02,TRANSFER,55
TX_f19981e069,C_2115df51,C_6c9af6ca,1993.8,CASH_OUT,97
TX_4aaaf6ac8f,C_b51cb849,C_eb71a165,79.26,CASH_IN,67
TX_77312a7e01,C_b4a4b115,C_1826fd2b,1031.55,CASH_OUT,97
TX_c1f2f26db2,C_4d11f94b,C_ae38024b,2660.98,TRANSFER,84
TX_b322fde581,C_1f5ded0f,C_36642328,1107.94,PAYMENT,52
TX_4b385ff42d,C_b09054bd,C_b3517984,4331.16,PAYMENT,13
TX_0793ad6916,C_3e93434a,C_c443e123,4987.62,PAYMENT,56
TX_0827c422c3,C_41a12f80,C_cf66a159,3890.04,CASH_OUT,81
TX_0bad623cad,C_25fbbc24,C_e0accd11,4092.68,TRANSFER,17
TX_e62be52522,C_52851b6e,C_bf01094a,2611.17,TRANSFER,6
TX_07e27e2515,C_722d588b,C_8c2139ba,66.05,PAYMENT,1
TX_7b5f66d324,C_ae38024b,C_cc3f430f,1041.18,CASH_OUT,80
TX_100f2aa880,C_67705d65,C_544b20b6,4173.64,TRANSFER,23
TX_35196c1070,C_13666bbf,C_e2406edb,3837.11,TRANSFER,19
TX_3d2b648819,C_2c8ffd23,C_ce429ea4,266.21,CASH_OUT,75
TX_26087cb334,C_11f52581,C_57f7a735,1374.3,CASH_IN,95
TX_59817ec8c4,C_c9645ede,C_3ff3fa2f,1263.1,CASH_OUT,32
TX_452227894c,C_fa134974,C_c5d8796e,718.01,CASH_OUT,56
TX_81df66266e,C_5ec7b46e,C_603a79c2,2458.28,CASH_OUT,64
TX_b1ddb1c1a1,C_573d417c,C_bb78c254,1142.09,CASH_OUT,40
TX_3133a15c51,C_24635d7d,C_542f0536,653.4,PAYMENT,60
TX_5aa7a64660,C_68842084,C_6748c8e7,4251.18,TRANSFER,24
TX_b2e4590de8,C_8c1bb4a5,C_aa7307a9,4139.63,CASH_OUT,2
TX_c1da38154c,C_f7c7bad7,C_173abe44,4756.85,PAYMENT,26
TX_7859c2e6bf,C_ff019920,C_fa6da1b9,1171.91,TRANSFER,44
TX_3a8b33292a,C_d3fbc5a6,C_00e8cb40,2877.2,CASH_OUT,51
TX_b150bfae7b,C_8a4eed8e,C_c9a4b384,3670.2,CASH_IN,11
TX_c62e0789f9,C_d64ccfde,C_8771ed1d,558.02,TRANSFER,12
TX_1095f45a46,C_50e2f78d,C_b57dbf71,1570.6,PAYMENT,86
TX_bdb65cc29d,C_4bf71b3c,C_2ce26e9f,1658.99,PAYMENT,64
TX_4fc7cf64bd,C_cf66a159,C_cd13f9e9,767.99,PAYMENT,3
TX_7bc889924a,C_9c5597f2,C_8f39927a,454.68,TRANSFER,37
TX_cf45483998,C_e1af7f63,C_d7f88438,677.72,PAYMENT,26
TX_2ee617f020,C_28dc7d8d,C_95290da2,1118.27,CASH_OUT,92
TX_424ce8e428,C_771318d7,C_2744be31,385.65,CASH_IN,41
TX_695c5b41f0,C_4d11f94b,C_e1e12f96,4292.11,TRANSFER,72
TX_4433941faf,C_356e8b99,C_0d48fba6,3309.95,PAYMENT,37
